state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0.080864424
California,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0,0,0,0,0,0,0,0,0,0.007113437,0.007113437
Connecticut,0,0,0,0,0,0,0,0,0,0,0.155511905,0.612287642,0.830742067
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0.013553983,0.056479299
Hiwaii,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,0.037282372,0.062915107,0.15288583,0.163844556,0.234847364,0.294881091,0.344269908,0.377744197,0.561698934
Indiana,0,0,0.019472195,0.041253897,0.143091922,0.198406729,0.23770709,0.346656747,0.44919483,0.579979083,0.628727072,0.767222498,0.827643062
Iowa,0,0,0,0,0,0,0,0,0.011706779,0.011706779,0.011706779,0.045014716,0.130974493
Kansas,0,0,0,0,0,0,0,0,0,0,0.001898351,0.007730959,0.013430794
Kentucky,0,0,0,0,0,0,0,0.073634983,0.088744002,0.131944502,0.151461898,0.196877764,0.250263428
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0.040209727,0.040209727,0.040209727,0.040209727,0.040209727,0.092034194,0.092034194,0.092034194,0.232166662,0.387488418,0.469102219,0.513012317
Massachusetts,0,0,0,0,0,0,0,0,0,0,0.089671529,0.16816723,0.179557761
Michigan,0.04279306,0.124770852,0.35808607,0.496370823,0.570075883,0.655151174,0.710746384,0.762939075,0.771848787,0.845427083,0.845427083,0.845427083,0.845427083
Minnesota,0,0,0,0,0,0,0,0.001956373,0.015476613,0.022856624,0.022856624,0.022856624,0.03038939
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0.011104544,0.011104544,0.011104544,0.011104544,0.036049209,0.078685918,0.093050032
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0.102302957,0.102302957
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0.155175816
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,0,0,0,0,0,0,0.024241359,0.129184816,0.176821237,0.222424747,0.334362233,0.371025806
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0.030735562,0.030735562
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0.057844208,0.076292991,0.173739303,0.302139983,0.383087555,0.441062923,0.533414037,0.584983888,0.639299936,0.721303512,0.860304501,0.914151907
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0,0,0,0.033423035,0.057886544,0.157031825,0.268352893,0.333290038,0.44463975,0.729354047,0.857272282
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0.018347377,0.063627555,0.176178788,0.210077353,0.303094607
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0.009494751,0.009494751,0.027354954,0.027354954,0.182796234,0.182796234,0.228355648
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,1,1,1,1
West Virginia,0,0,0,0,0,0.027583209,0.027583209,0.057022987,0.120762896,0.314905439,0.446671411,0.518962227,0.585402147
Wisconsin,0,0,0,0,0,0,0.023693585,0.084382171,0.084382171,0.103805251,0.143887382,0.232714939,0.387567972
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0
